"","Sample Name","Peak #","Area 28","Area 29","Area 30","Del Value","ID2","samplemass","atom15Nexcess","spikeconc","spikevol","mass15Nadded","porewaterNO3","porewatervol","massambient","tracerdilratio","Fn","Fn1","Fn2","rawN28mass","rawN29mass","rawN30mass","blank29mass","blank30mass","correct29mass","correct30mass","correct29perg","correct30perg","MF15N","MFexcess","N2Nmassnmoles","excess29Nperg","excessN29pergperlp","excessN30pergperlp","tracerdilcorrectedN29","tracerdilcorrectedN30","corrected29N2","corrected30N2"
"27","SWH_TR_CoreC_T2_B",5,10.894,0.191,1.026,1385.379,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.77575127998765,0.0836826465053248,0.449781605966105,0.0351157829902829,6.45510068849226e-05,0.0485668635150419,0.44971705495922,0.0485668635150419,0.44971705495922,0.00869360432332537,0.00503057142332537,5.30533720978798,0.0527185324903402,0.0527185324903402,0.44971705495922,0.0518700681140916,0.450617840021423,1.95031456108985,16.9432307848055
"28","SWH_TR_CoreC_T2_A",5,10.149,0.139,1.027,858.132,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.44915547462774,0.0608999364619903,0.450219989597651,0.0327143456552581,6.01366044497044e-05,0.0281855908067323,0.450159852993201,0.0281855908067323,0.450159852993201,0.0067850706153051,0.0031220377153051,4.95664193945595,0.0306266048034014,0.0306266048034014,0.450159852993201,0.0297551390155037,0.451061524981639,1.11879322698294,16.9599133393096
"29","SWH_TR_CoreC_T1_B",5,11.349,0.158,0.585,895.918,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.97521583225444,0.0692243882085933,0.256454424454358,0.0365824326378484,6.72470513252237e-05,0.0326419555707449,0.256387177403033,0.0326419555707449,0.256387177403033,0.00692209316662482,0.00325906026662482,5.29701408147603,0.034161454077218,0.034161454077218,0.256387177403033,0.0336818482830526,0.256900721946203,1.26643749544278,9.65946714517725
"30","SWH_TR_CoreC_T1_A",5,11.718,0.147,0.361,707.802,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.13697939222464,0.0644049687763495,0.158256490988074,0.037771869384995,6.94335137394459e-05,0.0266330993913545,0.158187057474335,0.0266330993913545,0.158187057474335,0.00623955753065661,0.00257652463065661,5.35571403904449,0.027325313848675,0.027325313848675,0.158187057474335,0.0270356587016222,0.158503906783996,1.016540767181,5.95974689507824
"31","SWH_TR_CoreC_T0_B",5,9.357,0.069,0.005,-0.955,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.10195563859413,0.0302309037113477,0.00219191815772956,0.0301614082467484,5.54437095118617e-05,6.94954645992993e-05,0.00213647444821769,6.94954645992993e-05,0.00213647444821769,0.00365954746512604,-3.48543487396205e-06,4.13133805841883,-2.83182858347476e-05,-2.83182858347476e-05,0.00213647444821769,-3.26281400974024e-05,0.00214075381509407,-0.00122681806766233,0.0804923434475369
"32","SWH_TR_CoreC_T0_A",5,9.19,0.068,0.005,1.115,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.02874557215775,0.0297927746720528,0.00219191815772956,0.0296230994750046,5.44541723216852e-05,0.00016967519704823,0.00213746398540787,0.00016967519704823,0.00213746398540787,0.00366710216385187,4.06926385186634e-06,4.05774408176584,3.30470352977279e-05,3.30470352977279e-05,0.00213746398540787,2.87966247444792e-05,0.0021417453343312,0.00108275309039242,0.0805296245708531
"33","SWH_TR_CoreB_T3_B",5,9.359,0.206,1.553,1999.176,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.10283240585684,0.0902545820947482,0.6808097797908,0.0301678550583861,5.54555602566542e-05,0.0600867270363622,0.680754324230544,0.0600867270363622,0.680754324230544,0.0109062135216389,0.00724318062163895,4.87034424064262,0.0695259718802599,0.0695259718802599,0.680754324230544,0.0682313316919709,0.682117877868402,2.56549807161811,25.6476322078519
"34","SWH_TR_CoreB_T3_A",5,9.739,0.2,1.429,1800.871,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.26941818577196,0.0876258078589789,0.626450209479107,0.0313927492695397,5.77072017672353e-05,0.0562330585894392,0.62639250227734,0.0562330585894392,0.62639250227734,0.0101924465100628,0.00652941361006283,4.97985908685243,0.0641304073341491,0.0641304073341491,0.62639250227734,0.0629393075981492,0.627647168968107,2.36651796569041,23.5995335532008
"35","SWH_TR_CoreB_T2_B",5,9.351,0.194,1.205,1831.358,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.09932533680599,0.0849970336232095,0.528252276012823,0.0301420678118355,5.54081572774841e-05,0.054854965811374,0.528196867855546,0.054854965811374,0.528196867855546,0.0103022465780969,0.00663921367809686,4.70913838702178,0.0616570113183985,0.0616570113183985,0.528196867855546,0.0606602203518525,0.529254848297292,2.28082428522965,19.8999822959782
"36","SWH_TR_CoreB_T2_A",5,12.039,0.228,1.331,1574.791,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.27770053788978,0.0998934209592359,0.583488613587608,0.0388065826528379,7.13355582786473e-05,0.061086838306398,0.583417278029329,0.061086838306398,0.583417278029329,0.00937745011401359,0.00571441721401359,5.95673151504392,0.0671911107994952,0.0671911107994952,0.583417278029329,0.0660891974383164,0.584585865173812,2.4849538236807,21.9804285305353
"37","SWH_TR_CoreB_T1_B",5,10.456,0.2,1.144,1606.171,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.58373924945391,0.0876258078589789,0.501510874488522,0.0337039312416374,6.19556937753581e-05,0.0539218766173415,0.501448918794747,0.0539218766173415,0.501448918794747,0.00949065216562049,0.00582761926562049,5.16910074110298,0.0594549683570895,0.0594549683570895,0.501448918794747,0.0585095761939548,0.502453322987399,2.1999600648927,18.8922449443262
"38","SWH_TR_CoreB_T1_A",5,10.912,0.178,0.784,1219.015,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.78364218535205,0.0779869689944912,0.343692767131994,0.0351738042950218,6.46576635880554e-05,0.0428131646994694,0.343628109468406,0.0428131646994694,0.343628109468406,0.00809219086599978,0.00442915796599978,5.20151713558108,0.0455353801564779,0.0455353801564779,0.343628109468406,0.0448923283216998,0.344316397947904,1.68795154489591,12.9462965628412
"39","SWH_TR_CoreB_T0_B",5,7.79,0.059,0.008,31.053,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.41500848825994,0.0258496133183988,0.00350706905236729,0.0251103313286492,4.61586509669127e-05,0.000739281989749607,0.00346091040140038,0.000739281989749607,0.00346091040140038,0.00377635146605486,0.000113318566054859,3.44183258668187,0.000774468810133551,0.000774468810133551,0.00346091040140038,0.000768308368950149,0.00346784261879535,0.0288883946725256,0.130390882466705
"40","SWH_TR_CoreB_T0_A",5,8.208,0.06,0.005,0.368,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.59825284616657,0.0262877423576937,0.00219191815772956,0.0264577149609181,4.8635456628552e-05,-0.000169972603224475,0.002143282701101,-0.000169972603224475,0.002143282701101,0.00366437591621929,1.34301621929457e-06,3.62406529077499,9.89974582250863e-06,9.89974582250863e-06,0.002143282701101,5.61450406811685e-06,0.00214757570493517,0.000211105352961194,0.0807488465055624
"41","SWH_TR_CoreA_T3_B",5,8.849,0.172,1.585,1641.928,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.87925675386549,0.0753581947587218,0.694838056000269,0.0285239180907852,5.24336203345585e-05,0.0468342766679367,0.694785622379935,0.0468342766679367,0.694785622379935,0.00961961253093668,0.00595657963093668,4.64605783560493,0.054614346250136,0.054614346250136,0.694785622379935,0.0532766607038732,0.696177280764182,2.00320244246563,26.1762657567333
